Tag	UrlHash	RowId	FinalDestinationURLUrl	ImageURL	label	ProductIntent	ProductCategory	VisualContext	AudienceAndContext	ValueSignals	ConfidenceLevel	Prompt
Prompt5	Internal100100	100	https://www.lifetimeexteriorswi.com/quality-shingle-roofing	https://www.bing.com/th?id=OADD2.9964537531868_171XTHSY4TFB3L5NK3&pid=21.2	good	 - ProductType: Service - SpecificProduct: shingle roofing installation and repair services 	 - Category: home services (roofing contractor) 	 - VisualAnchors: asphalt shingle roofs; residential house/garage exteriors; gutters - LifestyleVibe: professional trust; practical home protection 	 - AudienceType: property owners and builders seeking roofing work - TypicalUsageContext: on-site exterior construction and roof replacement at residential or commercial buildings 	 - CoreValueSignals: professional; reliable; affordable 	 - High 	 Elevated ladder viewpoint along the roof edge: perfectly straight gutter and uniform asphalt shingle rows leading to a clean ridge vent; golden-hour light enhances texture and curb appeal. Neighborhood houses and trees fall into soft bokeh, emphasizing the finished roof as the value-first subject. Correct anatomy (if any hands appear), natural perspective with 50mm prime, f/2.8 shallow DOF, sharp focus on roof edge, clean and uncluttered composition, realistic materials and lighting, no text, no logos, no watermark, no UI, no floating objects, no plastic-looking skin, candid, trustworthy tone. 
Prompt4	Internal100100	100	https://www.lifetimeexteriorswi.com/quality-shingle-roofing	https://www.bing.com/th?id=OADD2.9964537531868_171XTHSY4TFB3L5NK3&pid=21.2	good	 - ProductType: Service - SpecificProduct: shingle roofing installation and repair services 	 - Category: home services (roofing contractor) 	 - VisualAnchors: asphalt shingle roofs; residential house/garage exteriors; gutters - LifestyleVibe: professional trust; practical home protection 	 - AudienceType: property owners and builders seeking roofing work - TypicalUsageContext: on-site exterior construction and roof replacement at residential or commercial buildings 	 - CoreValueSignals: professional; reliable; affordable 	 - High 	 Organized worksite: chalk line snaps across a roof; a diverse team (natural body types) in safety harnesses and hard hats installs asphalt shingles in neat rows; secured ladder, roof jacks, tarps protecting landscaping; bundles stacked orderly. Foreman checks alignment, workers focused, not looking at camera. The crisp shingle pattern and tidy gutter run are the focal outcome. Correct anatomy; natural hands; 35mm prime, f/2.8 shallow DOF; sharp focus; clean, uncluttered composition; realistic materials; OSHA-compliant safety; no text, no logos, no watermark, no UI; no floating objects; no plastic-looking skin; candid realism. 
Prompt2	Internal100100	100	https://www.lifetimeexteriorswi.com/quality-shingle-roofing	https://www.bing.com/th?id=OADD2.9964537531868_171XTHSY4TFB3L5NK3&pid=21.2	good	 - ProductType: Service - SpecificProduct: shingle roofing installation and repair services 	 - Category: home services (roofing contractor) 	 - VisualAnchors: asphalt shingle roofs; residential house/garage exteriors; gutters - LifestyleVibe: professional trust; practical home protection 	 - AudienceType: property owners and builders seeking roofing work - TypicalUsageContext: on-site exterior construction and roof replacement at residential or commercial buildings 	 - CoreValueSignals: professional; reliable; affordable 	 - High 	 Extreme close-up of new charcoal asphalt shingles at a ridge cap: crisp granule texture, straight lines, sealed flashing meeting a freshly installed gutter. Morning light catches tiny raindrops beading and rolling off, implying protection. Sky and treetops softly blurred. Value-first: the water-shedding surface is the hero. Correct anatomy (if any hands appear), natural perspective with 50mm prime close focus, f/2.8 shallow DOF, sharp subject, clean and uncluttered background, realistic materials and lighting, no text, no logos, no watermark, no UI, no floating objects, no plastic-looking skin, candid feel. 
Prompt1	Internal100100	100	https://www.lifetimeexteriorswi.com/quality-shingle-roofing	https://www.bing.com/th?id=OADD2.9964537531868_171XTHSY4TFB3L5NK3&pid=21.2	good	 - ProductType: Service - SpecificProduct: shingle roofing installation and repair services 	 - Category: home services (roofing contractor) 	 - VisualAnchors: asphalt shingle roofs; residential house/garage exteriors; gutters - LifestyleVibe: professional trust; practical home protection 	 - AudienceType: property owners and builders seeking roofing work - TypicalUsageContext: on-site exterior construction and roof replacement at residential or commercial buildings 	 - CoreValueSignals: professional; reliable; affordable 	 - High 	 Dynamic side view of a mid-installation asphalt shingle roof on a residential home: right half gleaming, perfectly aligned shingles and sealed flashing in warm sunlight; left half older, weathered shingles in cooler shadow. A roofer (30s, safety harness, non-slip shoes, neutral clothing) presses a shingle with a nail gun; tidy gutters and roof jacks show order. Homeowners in background on driveway, relaxed, not looking at camera. Documentary, practical Midwest vibe. Correct anatomy; natural hands; 50mm prime, f/2.8 shallow DOF; sharp focus; clean, uncluttered composition; realistic materials; OSHA safety; no text, no logos, no watermark, no UI; no floating objects; no plastic-looking skin; diverse, natural body types. 
Prompt3	Internal100100	100	https://www.lifetimeexteriorswi.com/quality-shingle-roofing	https://www.bing.com/th?id=OADD2.9964537531868_171XTHSY4TFB3L5NK3&pid=21.2	good	 - ProductType: Service - SpecificProduct: shingle roofing installation and repair services 	 - Category: home services (roofing contractor) 	 - VisualAnchors: asphalt shingle roofs; residential house/garage exteriors; gutters - LifestyleVibe: professional trust; practical home protection 	 - AudienceType: property owners and builders seeking roofing work - TypicalUsageContext: on-site exterior construction and roof replacement at residential or commercial buildings 	 - CoreValueSignals: professional; reliable; affordable 	 - High 	 Quiet, post-rain morning: a homeowner steps from the garage, watching water flow smoothly through a straight, newly installed gutter along a uniform asphalt shingle roof; droplets glisten, downspout splashes neatly at the drain. The completed roof and gutter alignment occupy the focal point; homeowner is background, calm, not looking at camera. Suburban street softly blurred. Correct anatomy; natural hands; 35mm prime, f/2.8 shallow DOF; sharp focus on roof edge; clean, uncluttered composition; realistic materials and lighting; no text, no logos, no watermark, no UI; no floating objects; no plastic-looking skin; candid, documentary tone. 
Prompt5	Internal10011	11	https://luz.planos-iberdrola.pt/	https://www.bing.com/th?id=OADD2.1320513572842455_1M5SS1CGFJMGACD&pid=21.2	good	 - ProductType: Service - SpecificProduct: Iberdrola electricity and gas tariff plans (Portugal) 	 - Category: Utilities (energy services) 	 - VisualAnchors: wind turbines/green energy iconography, online form fields (phone, postcode), file upload module for utility bill (.PNG .JPG .PDF) - LifestyleVibe: sustainable savings and home comfort 	 - AudienceType: household energy consumers - TypicalUsageContext: online comparison and sign-up for home electricity and gas supply plans 	 - CoreValueSignals: affordable, efficient, reliable 	 - High 	 Living-room coffee table scene: a neat stack of documents and a utility bill beside a smartphone with subtle, frosted-glass interface hints—non-readable phone/postcode fields and a gentle upload panel icon; the device at a natural angle with soft reflections. A hand reaches to place the bill, conveying an easy, quick sign-up. 35mm lens, f/2.8 shallow depth, warm afternoon light, clean textures, slight motion blur on fingers. Correct anatomy, natural hands, realistic lighting, uncluttered background, clean composition. No extra text, no logos, no watermark, no dominant UI. Mood: affordable, efficient, reliable—sustainable savings made simple. 
Prompt4	Internal10011	11	https://luz.planos-iberdrola.pt/	https://www.bing.com/th?id=OADD2.1320513572842455_1M5SS1CGFJMGACD&pid=21.2	good	 - ProductType: Service - SpecificProduct: Iberdrola electricity and gas tariff plans (Portugal) 	 - Category: Utilities (energy services) 	 - VisualAnchors: wind turbines/green energy iconography, online form fields (phone, postcode), file upload module for utility bill (.PNG .JPG .PDF) - LifestyleVibe: sustainable savings and home comfort 	 - AudienceType: household energy consumers - TypicalUsageContext: online comparison and sign-up for home electricity and gas supply plans 	 - CoreValueSignals: affordable, efficient, reliable 	 - High 	 Evening exterior of a residential building in Portugal: windows glowing warm and steady, distant wind farm softly turning under a pastel sky. Implied before/after through lighting—left side cooler, right side warmly lit and orderly. A resident walks along the sidewalk, relaxed posture, neutral clothes, not looking at camera. 50mm prime lens, f/2.8 shallow depth, crisp focus on warm windows, gentle bokeh on turbines. Correct anatomy, clean composition, uncluttered scene, realistic lighting. No extra text, no logos, no watermark, no visible UI. Mood: affordable, efficient, reliable energy bringing stable home comfort. 
Prompt2	Internal10011	11	https://luz.planos-iberdrola.pt/	https://www.bing.com/th?id=OADD2.1320513572842455_1M5SS1CGFJMGACD&pid=21.2	good	 - ProductType: Service - SpecificProduct: Iberdrola electricity and gas tariff plans (Portugal) 	 - Category: Utilities (energy services) 	 - VisualAnchors: wind turbines/green energy iconography, online form fields (phone, postcode), file upload module for utility bill (.PNG .JPG .PDF) - LifestyleVibe: sustainable savings and home comfort 	 - AudienceType: household energy consumers - TypicalUsageContext: online comparison and sign-up for home electricity and gas supply plans 	 - CoreValueSignals: affordable, efficient, reliable 	 - High 	 Top-down flat lay on a wooden kitchen table: a printed utility bill, a simple pen, and a smartphone at a natural slight angle. Hands mid-motion, gently moving the bill toward the device, implying an easy upload; the screen shows minimal, generic shapes for phone/postcode fields and an upload area, non-readable and subtle. 35mm lens, f/2.8 shallow depth, soft morning light, gentle motion blur on the hands. Correct anatomy, natural hands, clean composition, uncluttered background, realistic textures. No extra text, no logos, no watermark, no dominant UI. Mood: affordable, efficient, reliable—switching made effortless and fast. 
Prompt1	Internal10011	11	https://luz.planos-iberdrola.pt/	https://www.bing.com/th?id=OADD2.1320513572842455_1M5SS1CGFJMGACD&pid=21.2	good	 - ProductType: Service - SpecificProduct: Iberdrola electricity and gas tariff plans (Portugal) 	 - Category: Utilities (energy services) 	 - VisualAnchors: wind turbines/green energy iconography, online form fields (phone, postcode), file upload module for utility bill (.PNG .JPG .PDF) - LifestyleVibe: sustainable savings and home comfort 	 - AudienceType: household energy consumers - TypicalUsageContext: online comparison and sign-up for home electricity and gas supply plans 	 - CoreValueSignals: affordable, efficient, reliable 	 - High 	 A cozy Portuguese living room at golden hour: warm LED lamplight and a compact radiator gently warming. Through the window, softly blurred wind turbines turning. A mid-30s person with natural build, neutral clothing adjusts a wall thermostat while glancing at a phone on the table showing subtle, generic form shapes (phone, postcode) and an upload panel for a utility bill, non-readable and secondary. 50mm prime lens, f/2.8 shallow depth, candid moment; subject not looking at camera. Natural skin tones, correct anatomy, natural hands, realistic lighting, slight screen reflections, clean composition, uncluttered background. No extra text, no logos, no watermark, no floating devices. Mood: affordable, efficient, reliable, sustainable savings and home comfort. 
Prompt3	Internal10011	11	https://luz.planos-iberdrola.pt/	https://www.bing.com/th?id=OADD2.1320513572842455_1M5SS1CGFJMGACD&pid=21.2	good	 - ProductType: Service - SpecificProduct: Iberdrola electricity and gas tariff plans (Portugal) 	 - Category: Utilities (energy services) 	 - VisualAnchors: wind turbines/green energy iconography, online form fields (phone, postcode), file upload module for utility bill (.PNG .JPG .PDF) - LifestyleVibe: sustainable savings and home comfort 	 - AudienceType: household energy consumers - TypicalUsageContext: online comparison and sign-up for home electricity and gas supply plans 	 - CoreValueSignals: affordable, efficient, reliable 	 - High 	 Bright, tidy Portuguese kitchen at midday: induction hob simmering, compact gas boiler panel glowing softly. A person in a simple tee pours tea, glancing toward a phone resting near reusable shopping bags; the phone’s screen shows faint, generic hints of phone/postcode fields and an upload icon, non-readable, secondary. Wind turbines reflected in the window glass signal green energy. Dynamic side view, 50mm prime, f/2.8 shallow depth; subject not looking at camera. Natural skin tones, correct anatomy, natural hands, realistic lighting, slight screen reflections, clean composition. No extra text, no logos, no watermark, no floating devices. Mood: reliable comfort, efficient savings, sustainable choice. 
Prompt5	Internal10012	12	https://www.mammamiapizzafl.com/	https://www.bing.com/th?id=OADD2.9964410398523_1YG9KQR8VGZ6GDGIJ5&pid=21.2	good	 - ProductType: Service - SpecificProduct: family-owned New York-style pizzeria and Italian restaurant offering dine-in, takeout, delivery, and catering in Hudson/Port Richey, FL 	 - Category: Food & Beverage service 	 - VisualAnchors: New York-style pizza pies; takeout pizza boxes; casual restaurant seating - LifestyleVibe: family-friendly neighborhood comfort 	 - AudienceType: local diners and takeout/delivery customers - TypicalUsageContext: casual dine-in at a neighborhood restaurant; ordering meals for home delivery or pickup; catered food for gatherings 	 - CoreValueSignals: reliable, efficient, professional 	 - High 	 Kitchen precision: extreme close-up of a New York–style pie being sliced with a rocker knife; golden, blistered crust, glistening sauce, and fresh toppings in crisp detail. Outcome-centered: perfect wedges sliding into a plain takeout box on a flour-dusted, spotless counter; implied before/after from whole pie to cleanly cut. 50mm prime macro feel, f/2.8, shallow depth, warm overhead light, sharp focus on blade and cheese stretch. Clean composition, uncluttered background, food-safe environment. Natural hands, correct anatomy, candid angle. No extra text, no logos, no watermark. 
Prompt4	Internal10012	12	https://www.mammamiapizzafl.com/	https://www.bing.com/th?id=OADD2.9964410398523_1YG9KQR8VGZ6GDGIJ5&pid=21.2	good	 - ProductType: Service - SpecificProduct: family-owned New York-style pizzeria and Italian restaurant offering dine-in, takeout, delivery, and catering in Hudson/Port Richey, FL 	 - Category: Food & Beverage service 	 - VisualAnchors: New York-style pizza pies; takeout pizza boxes; casual restaurant seating - LifestyleVibe: family-friendly neighborhood comfort 	 - AudienceType: local diners and takeout/delivery customers - TypicalUsageContext: casual dine-in at a neighborhood restaurant; ordering meals for home delivery or pickup; catered food for gatherings 	 - CoreValueSignals: reliable, efficient, professional 	 - High 	 Backyard gathering catering spread: a long table neatly arranged with multiple New York–style pies, aluminum trays of baked ziti and salads, and simple plates; guests (mixed ages, casual summer wear) reach naturally, smiles turned toward the food, not the camera. Outcome-focused order: pristine layout, fresh steam, vibrant ingredients; a server places the final tray, signaling professional efficiency. 35mm prime, f/2.8, shallow bokeh of greenery; warm late-afternoon light; sharp focus on food textures. Clean composition, uncluttered scene, food-safe handling, correct anatomy, natural hands. No extra text, no logos, no watermark. 
Prompt2	Internal10012	12	https://www.mammamiapizzafl.com/	https://www.bing.com/th?id=OADD2.9964410398523_1YG9KQR8VGZ6GDGIJ5&pid=21.2	good	 - ProductType: Service - SpecificProduct: family-owned New York-style pizzeria and Italian restaurant offering dine-in, takeout, delivery, and catering in Hudson/Port Richey, FL 	 - Category: Food & Beverage service 	 - VisualAnchors: New York-style pizza pies; takeout pizza boxes; casual restaurant seating - LifestyleVibe: family-friendly neighborhood comfort 	 - AudienceType: local diners and takeout/delivery customers - TypicalUsageContext: casual dine-in at a neighborhood restaurant; ordering meals for home delivery or pickup; catered food for gatherings 	 - CoreValueSignals: reliable, efficient, professional 	 - High 	 Takeout at home: a plain pizza box opened on a tidy coffee table reveals a steaming New York–style pie; a relaxed hand lifts a slice, long cheese strands catching warm lamplight. Implied before/after through contrast: closed box in soft shadow, open box glowing, room calmly organized. 35mm prime, f/2.8, shallow bokeh of a cozy living room; focus on crust texture and toppings. Clean composition, uncluttered background, realistic lighting, food-safe presentation. Natural hands, correct anatomy, candid angle; subjects not looking at camera. No extra text, no logos, no watermark. 
Prompt1	Internal10012	12	https://www.mammamiapizzafl.com/	https://www.bing.com/th?id=OADD2.9964410398523_1YG9KQR8VGZ6GDGIJ5&pid=21.2	good	 - ProductType: Service - SpecificProduct: family-owned New York-style pizzeria and Italian restaurant offering dine-in, takeout, delivery, and catering in Hudson/Port Richey, FL 	 - Category: Food & Beverage service 	 - VisualAnchors: New York-style pizza pies; takeout pizza boxes; casual restaurant seating - LifestyleVibe: family-friendly neighborhood comfort 	 - AudienceType: local diners and takeout/delivery customers - TypicalUsageContext: casual dine-in at a neighborhood restaurant; ordering meals for home delivery or pickup; catered food for gatherings 	 - CoreValueSignals: reliable, efficient, professional 	 - High 	 Family-friendly dine-in moment at a cozy neighborhood pizzeria: a New York–style pizza pie centered, a warm cheese stretch as a diverse family (two adults in their 30s, two kids 8–12, casual tees) reach naturally, eyes on the pie, not at camera. Implied before/after via lighting: table transitions from plain to inviting, warm glow on freshly baked crust, soft bokeh of casual seating behind. 50mm prime, f/2.8, shallow depth, natural ambient light, sharp focus on the slice pull. Clean composition, uncluttered background, food-safe surfaces, fresh ingredients visible. Correct anatomy, natural hands, candid interaction. No extra text, no logos, no watermark. 
Prompt3	Internal10012	12	https://www.mammamiapizzafl.com/	https://www.bing.com/th?id=OADD2.9964410398523_1YG9KQR8VGZ6GDGIJ5&pid=21.2	good	 - ProductType: Service - SpecificProduct: family-owned New York-style pizzeria and Italian restaurant offering dine-in, takeout, delivery, and catering in Hudson/Port Richey, FL 	 - Category: Food & Beverage service 	 - VisualAnchors: New York-style pizza pies; takeout pizza boxes; casual restaurant seating - LifestyleVibe: family-friendly neighborhood comfort 	 - AudienceType: local diners and takeout/delivery customers - TypicalUsageContext: casual dine-in at a neighborhood restaurant; ordering meals for home delivery or pickup; catered food for gatherings 	 - CoreValueSignals: reliable, efficient, professional 	 - High 	 Doorstep delivery handoff at golden hour: a courteous driver in a plain, neat polo passes two stacked pizza boxes to a customer in casual shorts; both look at the boxes, not the camera. Outcome centered: the boxes are clean, sturdy, and steaming subtly, signaling reliability and speed. Implied before/after through entryway order—now pleasantly occupied. 50mm prime, f/2.8, shallow depth, warm natural light, sharp focus on hands and boxes. Clean composition, uncluttered porch, correct anatomy, natural hands, candid interaction. No extra text, no logos, no watermark. 
